Client Mac,Client IPv4,Client IPv6,Site Name,Site Location,Site Description,AP Name,AP Description,Device IPv4,Device IPv6,AP Mac,User Name,SSID,RSSI Strength,Data Uploaded (MB),Data Downloaded (MB),Interface,Channel,Radio ID,Uptime,Association Time,Disassociation Time,Host Name,Device Type,Device OS,Protocol,SNR,Created At,SAP ID,Group Name,apGroupName,subAPGroup1,subAPGroup2,subAPGroup3,subAPGroup4,waniaxRu26,waniaxRu52,waniaxRu106,waniaxRu242,waniaxRu484,waniaxRu996,waniaxTxmcs48,waniaxTxmcs24,waniaxTxmcs12,waniaxTxmcs6,waniaxTxmcs54,waniaxTxmcs36,waniaxTxmcs18,waniaxTxmcs9,waniaxRxmcs48,waniaxRxmcs24,waniaxRxmcs12,waniaxRxmcs6,waniaxRxmcs54,waniaxRxmcs36,waniaxRxmcs18,waniaxRxmcs9,hkRu26,hkRu52,hkRu106,hkRu242,hkRu484,hkRu996,hkTxmcs48,hkTxmcs24,hkTxmcs12,hkTxmcs6,hkTxmcs54,hkTxmcs36,hkTxmcs18,hkTxmcs9,hkRxmcs48,hkRxmcs24,hkRxmcs12,hkRxmcs6,hkRxmcs54,hkRxmcs36,hkRxmcs18,hkRxmcs9,BSSID,Association Time_dt,Disassociation Time_dt,connection_duration_seconds,rapid_assoc_anomaly
70-32-17-14-08-6B,192.168.171.139,,Guest_BLR | TEST-A | TEST-A,D32,,PALC,,192.168.171.108,2405:200:902:600:206:aeff:fe6d:7b0d,00:06:ae:6d:7b:0d,,Guest_Network,-48,0.03,0.03,5GHz,36,802.11axa,00:00:00,15-05-2025 10:59:52,15-05-2025 10:59:52,BLRWLAPNISHTHA,Laptop_PC,Windows 10,1.3,47,15-05-2025 11:00,6361,Guest_BLR | TEST-A, TEST-A, TEST-A ,Guest_BLR ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:6D:7B:00;00:06:AE:6D:7B:01,2025-05-15 10:59:52,2025-05-15 10:59:52,0.0,True
70-32-17-14-08-6B,192.168.171.139,,Guest_BLR | TEST-A | TEST-A,D32,,PALC,,192.168.171.108,2405:200:902:600:206:aeff:fe6d:7b0d,00:06:ae:6d:7b:0d,,Guest_Network,-56,0.05,0.06,5GHz,36,802.11axa,00:00:04,15-05-2025 11:00:09,15-05-2025 11:00:13,BLRWLAPNISHTHA,Laptop_PC,Windows 10,1.3,39,15-05-2025 11:00,6361,Guest_BLR | TEST-A, TEST-A, TEST-A ,Guest_BLR ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:6D:7B:00;00:06:AE:6D:7B:01,2025-05-15 11:00:09,2025-05-15 11:00:13,4.0,True
70-32-17-14-08-6B,192.168.171.139,,Guest_BLR | TEST-A | TEST-A,D32,,PALC,,192.168.171.108,2405:200:902:600:206:aeff:fe6d:7b0d,00:06:ae:6d:7b:0d,,Guest_Network,-49,0.16,0.56,5GHz,36,802.11axa,00:00:08,15-05-2025 11:00:16,Ongoing Session,BLRWLAPNISHTHA,Laptop_PC,Windows 10,1.3,47,15-05-2025 11:00,6361,Guest_BLR | TEST-A, TEST-A, TEST-A ,Guest_BLR ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:6D:7B:00;00:06:AE:6D:7B:01,2025-05-15 11:00:16,,0.0,True
70-32-17-14-08-6B,192.168.171.139,,Guest_BLR | TEST-A | TEST-A,D32,,PALC,,192.168.171.108,2405:200:902:600:206:aeff:fe6d:7b0d,00:06:ae:6d:7b:0d,,Guest_Network,-49,0.35,0.44,5GHz,36,802.11axa,00:00:15,15-05-2025 11:14:45,15-05-2025 11:15:00,BLRWLAPNISHTHA,Laptop_PC,Windows 10,1.3,46,15-05-2025 11:15,6361,Guest_BLR | TEST-A, TEST-A, TEST-A ,Guest_BLR ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:6D:7B:00;00:06:AE:6D:7B:01,2025-05-15 11:14:45,2025-05-15 11:15:00,15.0,True
70-32-17-14-08-6B,192.168.171.139,,Guest_BLR | TEST-A | TEST-A,D32,,PALC,,192.168.171.108,2405:200:902:600:206:aeff:fe6d:7b0d,00:06:ae:6d:7b:0d,,Guest_Network,-49,0.27,0.29,5GHz,36,802.11axa,00:00:15,15-05-2025 11:15:02,15-05-2025 11:15:17,BLRWLAPNISHTHA,Laptop_PC,Windows 10,1.3,46,15-05-2025 11:15,6361,Guest_BLR | TEST-A, TEST-A, TEST-A ,Guest_BLR ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:6D:7B:00;00:06:AE:6D:7B:01,2025-05-15 11:15:02,2025-05-15 11:15:17,15.0,True
70-32-17-14-08-6B,192.168.171.139,,Guest_BLR | TEST-A | TEST-A,D32,,PALC,,192.168.171.108,2405:200:902:600:206:aeff:fe6d:7b0d,00:06:ae:6d:7b:0d,,Guest_Network,-52,4.03,14.2,5GHz,36,802.11axa,00:04:50,15-05-2025 11:15:30,Ongoing Session,BLRWLAPNISHTHA,Laptop_PC,Windows 10,1.3,44,15-05-2025 11:20,6361,Guest_BLR | TEST-A, TEST-A, TEST-A ,Guest_BLR ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:6D:7B:00;00:06:AE:6D:7B:01,2025-05-15 11:15:30,,0.0,True
F4-7B-09-29-22-37,192.168.171.157,2405:200:902:600:a752:6a06:5098:e656,Guest_BLR | TEST-A | TEST-A,D32,,PALC,,192.168.171.108,2405:200:902:600:206:aeff:fe6d:7b0d,00:06:ae:6d:7b:0d,,Guest_Network,-82,0.01,0.0,5GHz,36,802.11axa,00:00:38,15-05-2025 13:28:14,15-05-2025 13:28:52,putraj,Laptop_PC,Linux Ubuntu 20.04,1.3,13,15-05-2025 13:29,6361,Guest_BLR | TEST-A, TEST-A, TEST-A ,Guest_BLR ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:6D:7B:00;00:06:AE:6D:7B:01,2025-05-15 13:28:14,2025-05-15 13:28:52,38.0,True
F4-7B-09-29-22-37,192.168.171.157,2405:200:902:600:a752:6a06:5098:e656,Guest_BLR | TEST-A | TEST-A,D32,,PALC,,192.168.171.108,2405:200:902:600:206:aeff:fe6d:7b0d,00:06:ae:6d:7b:0d,,Guest_Network,-82,0.0,0.0,5GHz,36,802.11axa,00:00:04,15-05-2025 13:28:53,15-05-2025 13:28:57,putraj,Laptop_PC,Linux Ubuntu 20.04,1.3,13,15-05-2025 13:29,6361,Guest_BLR | TEST-A, TEST-A, TEST-A ,Guest_BLR ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:6D:7B:00;00:06:AE:6D:7B:01,2025-05-15 13:28:53,2025-05-15 13:28:57,4.0,True
F4-7B-09-29-22-37,192.168.171.157,2405:200:902:600:a752:6a06:5098:e656,Guest_BLR | TEST-A | TEST-A,D32,,PALC,,192.168.171.108,2405:200:902:600:206:aeff:fe6d:7b0d,00:06:ae:6d:7b:0d,,Guest_Network,-82,0.0,0.0,5GHz,36,802.11axa,00:00:01,15-05-2025 13:28:58,15-05-2025 13:28:59,putraj,Laptop_PC,Linux Ubuntu 20.04,1.3,13,15-05-2025 13:29,6361,Guest_BLR | TEST-A, TEST-A, TEST-A ,Guest_BLR ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:6D:7B:00;00:06:AE:6D:7B:01,2025-05-15 13:28:58,2025-05-15 13:28:59,1.0,True
F4-7B-09-29-22-37,192.168.70.115,2405:200:902:600:acd5:6be6:7004:7911,Guest_BLR | TEST-A | TEST-A,D32,,Wallplate,,192.168.70.92,fe80::206:aeff:fec4:5766,00:06:ae:c4:57:66,,Guest_Network,-56,0.05,0.06,5GHz,36,802.11axa,00:00:03,15-05-2025 13:28:47,15-05-2025 13:28:50,putraj,Laptop_PC,Linux Ubuntu 20.04,1.3,39,15-05-2025 13:29,6361,Guest_BLR | TEST-A, TEST-A, TEST-A ,Guest_BLR ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:C4:57:56;00:06:AE:C4:57:57,2025-05-15 13:28:47,2025-05-15 13:28:50,3.0,True
