client_mac,ap_mac,ap_name,created_at,rx_bytes,tx_bytes,rx_packets,tx_packets,rssi,snr,data_rate_from,data_rate_to
12-18-95-A6-D3-FD,00:06:ae:60:57:db,Zone-D2,2025-08-08 11:15:19+00,26619.0,24419.0,159.0,138.0,-57,38,0.52,0.46
CC-15-31-60-4F-91,00:06:ae:cb:00:33,HFCL-cb:00:33,2025-08-10 15:40:44+00,165962.0,158261.0,1781.0,851.0,-29,66,0.58,0.91
3A-C7-B4-2A-75-42,00:06:ae:60:0f:57,Zone_B1,2025-08-10 15:42:13+00,0.0,0.0,0.0,0.0,-79,15,0.0,0.0
6A-76-D0-CA-34-70,00:06:ae:60:0f:57,Zone_B1,2025-08-10 15:42:13+00,0.0,0.0,0.0,0.0,-87,7,0.0,0.0
90-09-DF-96-6C-CF,00:06:ae:60:65:89,Zone-D1,2025-08-10 15:44:32+00,34918.0,31983.0,392.0,420.0,-64,31,0.33,0.36
CC-15-31-60-4F-91,00:06:ae:cb:00:33,HFCL-cb:00:33,2025-08-10 15:45:49+00,167168.0,162101.0,1796.0,863.0,-29,66,0.56,0.93
C4-75-AB-BC-9B-57,00:06:ae:8a:d3:dd,ion12xe,2025-08-11 06:15:51+00,0.0,0.0,0.0,0.0,-61,32,0.0,0.0
C4-75-AB-BA-39-E3,00:06:ae:8a:d3:dd,ion12xe,2025-08-11 06:15:51+00,0.0,0.0,0.0,0.0,-64,29,0.0,0.0
04-56-E5-32-04-74,00:06:ae:8a:d3:dd,ion12xe,2025-08-11 06:15:51+00,0.0,0.0,0.0,0.0,-61,32,0.0,0.0
42-06-65-6F-E2-26,00:06:ae:8a:d3:dd,ion12xe,2025-08-11 06:15:51+00,57848.0,75082.0,112.0,114.0,-67,26,18.83,73.32
D2-B8-FD-40-82-66,00:06:ae:8a:d3:dd,ion12xe,2025-08-11 06:15:51+00,42.0,0.0,1.0,0.0,-76,17,0.04,0.0
2A-9C-B0-A8-47-C4,00:06:ae:8a:d3:dd,ion12xe,2025-08-11 06:15:51+00,0.0,0.0,0.0,0.0,-74,19,0.0,0.0
74-4C-A1-7B-DE-B9,00:06:ae:8a:d3:dd,ion12xe,2025-08-11 06:15:51+00,1212.0,1276.0,19.0,2.0,-70,23,0.39,0.42
EA-70-1B-56-40-68,00:06:ae:8a:d3:dd,ion12xe,2025-08-11 06:15:52+00,1888.0,1973.0,25.0,21.0,-65,28,0.92,1.93
9A-AD-35-C3-EA-41,00:06:ae:8a:d3:dd,ion12xe,2025-08-11 06:15:52+00,4778.0,13125.0,24.0,18.0,-84,9,1.56,12.82
6A-FD-DC-31-4A-C8,00:06:ae:8a:d3:dd,ion12xe,2025-08-11 06:15:52+00,43.0,0.0,1.0,0.0,-68,25,0.04,0.0
02-8E-6A-48-10-04,00:06:ae:8a:d3:dd,ion12xe,2025-08-11 06:15:52+00,17906.0,664712.0,24.0,533.0,-66,27,8.74,324.57
B6-7A-BF-B5-D5-21,00:06:ae:8a:d3:dd,ion12xe,2025-08-11 06:15:52+00,11048.0,245534.0,37.0,181.0,-58,35,3.6,79.93
92-CE-65-58-EB-0F,00:06:ae:8a:d3:dd,ion12xe,2025-08-11 06:15:52+00,0.0,0.0,0.0,0.0,-60,33,0.0,0.0
16-42-7D-06-E5-D1,00:06:ae:8a:d3:dd,ion12xe,2025-08-11 06:15:52+00,0.0,0.0,0.0,0.0,-49,44,0.0,0.0
7E-C6-D8-53-1A-2D,00:06:ae:8a:d3:dd,ion12xe,2025-08-11 06:15:52+00,0.0,0.0,0.0,0.0,-71,22,0.0,0.0
BE-EE-98-0A-E9-EA,00:06:ae:8a:d3:dd,ion12xe,2025-08-11 06:15:52+00,4583.0,2025.0,16.0,17.0,-53,40,4.48,1.98
AC-74-B1-E1-84-17,00:06:ae:8a:d3:dd,ion12xe,2025-08-11 06:15:52+00,1142.0,4630.0,11.0,19.0,-44,49,1.12,4.52
7C-21-4A-FB-2F-D9,00:06:ae:8a:d3:dd,ion12xe,2025-08-11 06:15:52+00,108.0,126.0,2.0,2.0,-65,28,0.11,0.06
70-32-17-0E-CC-11,00:06:ae:8a:d3:dd,ion12xe,2025-08-11 06:15:52+00,47149.0,36989.0,122.0,112.0,-66,27,23.02,12.04
70-32-17-14-27-3D,00:06:ae:8a:d3:dd,ion12xe,2025-08-11 06:15:52+00,10425.0,3445.0,26.0,23.0,-66,27,3.39,1.68
36-34-3D-76-D5-CE,00:06:ae:60:0f:57,Zone_B1,2025-08-08 10:09:04+00,160435.0,235701.0,717.0,757.0,-51,43,1.57,2.65
C4-75-AB-87-0F-69,00:06:ae:60:0f:57,Zone_B1,2025-08-08 10:09:04+00,3613084.0,1971541.0,5176.0,4088.0,-63,31,15.14,9.21
26-FF-CE-34-13-7E,00:06:ae:60:0f:57,Zone_B1,2025-08-08 10:09:04+00,598838.0,15425325.0,2811.0,12799.0,-66,28,3.68,103.18
EA-0A-C1-60-0C-A0,00:06:ae:60:0f:57,Zone_B1,2025-08-08 10:09:04+00,2458123.0,193778746.0,24530.0,151936.0,-73,21,14.2,1278.63
5A-EF-13-DA-D1-B7,00:06:ae:60:0f:57,Zone_B1,2025-08-08 10:09:04+00,896911.0,33972104.0,5367.0,27516.0,-48,46,3.43,132.17
BE-EE-98-0A-E9-EA,00:06:ae:60:0f:57,Zone_B1,2025-08-08 10:09:04+00,10786614.0,755803594.0,98772.0,506825.0,-55,39,35.11,2460.3
7E-FF-C8-12-46-FD,00:06:ae:60:0f:57,Zone_B1,2025-08-08 10:09:04+00,1732.0,2762.0,35.0,40.0,-59,35,0.05,0.08
1E-E2-9B-FF-19-52,00:06:ae:60:0f:57,Zone_B1,2025-08-08 10:09:04+00,191164.0,272651.0,758.0,648.0,-63,31,1.65,2.86
02-8E-6A-48-10-04,00:06:ae:60:0f:57,Zone_B1,2025-08-08 10:09:04+00,277908.0,16475727.0,2985.0,11218.0,-79,15,6.62,423.41
F8-AC-65-00-CF-9E,00:06:ae:60:0f:57,Zone_B1,2025-08-08 10:09:04+00,354194.0,7619459.0,2526.0,5698.0,-76,18,8.04,190.79
CC-15-31-60-4F-91,00:06:ae:cb:00:33,HFCL-cb:00:33,2025-08-08 10:12:41+00,157312.0,158027.0,1729.0,852.0,-30,65,0.51,0.91
F8-89-D2-B8-F4-0F,00:06:ae:cb:00:33,HFCL-cb:00:33,2025-08-08 10:12:41+00,1878228.0,12811834.0,9191.0,29221.0,-66,30,5.92,40.36
70-32-17-0D-E2-4C,00:06:ae:cb:00:33,HFCL-cb:00:33,2025-08-08 10:12:41+00,142945.0,46907.0,464.0,287.0,-49,46,1.18,0.61
74-4C-A1-7B-DE-B9,00:06:ae:cb:00:33,HFCL-cb:00:33,2025-08-08 10:12:41+00,40819.0,35441.0,465.0,233.0,-62,34,0.2,0.26
70-32-17-14-08-6B,00:06:ae:cb:00:33,HFCL-cb:00:33,2025-08-08 10:12:41+00,1855631.0,13557835.0,6614.0,30131.0,-34,61,5.85,42.85
AC-74-B1-E1-83-7C,00:06:ae:cb:00:33,HFCL-cb:00:33,2025-08-08 10:12:41+00,249874.0,295053.0,1088.0,1066.0,-42,53,1.05,1.27
50-84-92-93-83-B6,00:06:ae:cb:00:33,HFCL-cb:00:33,2025-08-08 10:12:41+00,1141636.0,2319473.0,3362.0,3871.0,-49,46,3.84,7.92
C4-75-AB-BA-39-E8,00:06:ae:cb:00:33,HFCL-cb:00:33,2025-08-08 10:12:41+00,473967.0,2293805.0,2124.0,3115.0,-51,44,1.68,8.27
70-32-17-D0-01-CE,00:06:ae:cb:00:33,HFCL-cb:00:33,2025-08-08 10:12:41+00,12635751.0,572094.0,9897.0,5370.0,-35,60,48.97,2.23
6E-67-1D-FA-C9-E2,00:06:ae:6d:7b:0d,Guest_WiFi,2025-08-08 10:12:44+00,367447.0,1134082.0,1200.0,1323.0,-52,44,4.72,16.78
50-84-92-94-96-34,00:06:ae:60:0f:57,Zone_B1,2025-08-08 10:13:58+00,361255.0,477881.0,1680.0,866.0,-45,49,1.44,2.81
C4-3D-1A-BF-D8-EE,00:06:ae:60:0f:57,Zone_B1,2025-08-08 10:13:58+00,15613.0,8206.0,219.0,113.0,-84,10,0.17,0.1
6A-B8-3D-13-C5-DB,00:06:ae:60:0f:57,Zone_B1,2025-08-08 10:13:58+00,385860.0,708666.0,1150.0,1539.0,-77,17,3.97,7.36
A0-78-17-8A-C3-9B,00:06:ae:60:0f:57,Zone_B1,2025-08-08 10:13:58+00,1016799.0,1514544.0,4164.0,4329.0,-59,35,3.33,4.96
16-09-44-6E-9F-B9,00:06:ae:60:0f:57,Zone_B1,2025-08-08 10:13:58+00,0.0,4308.0,0.0,13.0,-74,20,0.0,0.84
36-34-3D-76-D5-CE,00:06:ae:60:0f:57,Zone_B1,2025-08-08 10:13:58+00,49364.0,110960.0,379.0,393.0,-51,43,0.6,1.53
C4-75-AB-87-0F-69,00:06:ae:60:0f:57,Zone_B1,2025-08-08 10:13:58+00,166808.0,490658.0,1188.0,769.0,-63,31,0.78,2.96
26-FF-CE-34-13-7E,00:06:ae:60:0f:57,Zone_B1,2025-08-08 10:13:58+00,763398.0,11112858.0,3078.0,9755.0,-60,34,4.66,72.35
EA-0A-C1-60-0C-A0,00:06:ae:60:0f:57,Zone_B1,2025-08-08 10:13:58+00,2669921.0,198082612.0,25117.0,155611.0,-70,24,17.27,1454.44
5A-EF-13-DA-D1-B7,00:06:ae:60:0f:57,Zone_B1,2025-08-08 10:13:58+00,982108.0,38330767.0,6213.0,31096.0,-48,46,3.81,152.16
BE-EE-98-0A-E9-EA,00:06:ae:60:0f:57,Zone_B1,2025-08-08 10:13:58+00,12613779.0,982157777.0,129189.0,654310.0,-52,42,41.06,3197.13
7E-FF-C8-12-46-FD,00:06:ae:60:0f:57,Zone_B1,2025-08-08 10:13:58+00,1862.0,2702.0,36.0,39.0,-81,13,0.05,0.08
1E-E2-9B-FF-19-52,00:06:ae:60:0f:57,Zone_B1,2025-08-08 10:13:58+00,43012.0,18841.0,267.0,173.0,-84,10,0.53,0.32
F8-AC-65-00-CF-9E,00:06:ae:60:0f:57,Zone_B1,2025-08-08 10:13:58+00,94033.0,72887.0,241.0,185.0,-75,19,1.13,1.02
CC-15-31-60-4F-91,00:06:ae:cb:00:33,HFCL-cb:00:33,2025-08-08 10:17:31+00,190131.0,173353.0,2048.0,867.0,-30,65,0.64,1.05
F8-89-D2-B8-F4-0F,00:06:ae:cb:00:33,HFCL-cb:00:33,2025-08-08 10:17:31+00,1549375.0,9258778.0,7737.0,23978.0,-66,30,5.22,31.18
70-32-17-0D-E2-4C,00:06:ae:cb:00:33,HFCL-cb:00:33,2025-08-08 10:17:31+00,45559.0,16694.0,180.0,117.0,-50,45,0.54,0.31
74-4C-A1-7B-DE-B9,00:06:ae:cb:00:33,HFCL-cb:00:33,2025-08-08 10:17:31+00,175149.0,5989020.0,1901.0,4478.0,-60,36,0.93,40.34
70-32-17-14-08-6B,00:06:ae:cb:00:33,HFCL-cb:00:33,2025-08-08 10:17:31+00,1016551.0,5503090.0,3847.0,12759.0,-34,61,3.65,19.69
AC-74-B1-E1-83-7C,00:06:ae:cb:00:33,HFCL-cb:00:33,2025-08-08 10:17:31+00,133451.0,189239.0,774.0,777.0,-42,53,0.65,0.94
CC-15-31-87-E4-3E,00:06:ae:60:57:db,Zone-D2,2025-08-08 10:23:09+00,36596.0,69925.0,461.0,414.0,-76,19,0.15,0.3
0A-FD-45-6D-FD-F3,00:06:ae:60:57:db,Zone-D2,2025-08-08 10:23:09+00,698173.0,11940632.0,3097.0,10093.0,-71,24,5.88,106.98
CA-67-03-46-AC-E0,00:06:ae:60:57:db,Zone-D2,2025-08-08 10:23:09+00,174567.0,1064026.0,1070.0,1087.0,-49,46,0.9,7.02
C4-75-AB-BA-37-F9,00:06:ae:60:57:db,Zone-D2,2025-08-08 10:23:09+00,401121.0,2862881.0,2409.0,3510.0,-51,44,1.47,11.23
50-84-92-94-E4-9F,00:06:ae:60:57:db,Zone-D2,2025-08-08 10:23:09+00,6111783.0,3956035.0,9886.0,7544.0,-56,39,20.51,13.37
90-65-84-4B-9E-48,00:06:ae:60:57:db,Zone-D2,2025-08-08 10:23:09+00,717465.0,5291221.0,3843.0,5862.0,-50,45,2.68,20.59
BA-63-6A-17-44-22,00:06:ae:60:57:db,Zone-D2,2025-08-08 10:23:09+00,3575737.0,31406281.0,13073.0,24919.0,-72,23,18.77,173.28
02-8E-6A-48-10-04,00:06:ae:60:57:db,Zone-D2,2025-08-08 10:23:09+00,1139814.0,12034616.0,6866.0,14537.0,-66,29,4.37,45.91
70-32-17-11-F9-F9,00:06:ae:60:57:db,Zone-D2,2025-08-08 10:23:09+00,289203.0,330374.0,1125.0,974.0,-62,33,1.44,1.8
8E-A5-D3-AF-D5-B2,00:06:ae:60:57:db,Zone-D2,2025-08-08 10:23:09+00,351437.0,660296.0,1501.0,1511.0,-88,7,4.4,9.21
26-FF-CE-34-13-7E,00:06:ae:60:0f:57,Zone_B1,2025-08-08 10:24:04+00,40864.0,74784.0,240.0,197.0,-61,33,0.63,1.28
EA-0A-C1-60-0C-A0,00:06:ae:60:0f:57,Zone_B1,2025-08-08 10:24:04+00,1493665.0,37837748.0,10124.0,33094.0,-74,20,8.06,212.36
5A-EF-13-DA-D1-B7,00:06:ae:60:0f:57,Zone_B1,2025-08-08 10:24:04+00,747292.0,17961610.0,4248.0,15155.0,-50,44,2.86,71.3
BE-EE-98-0A-E9-EA,00:06:ae:60:0f:57,Zone_B1,2025-08-08 10:24:04+00,8235515.0,1122135441.0,116162.0,742797.0,-52,42,26.72,3640.65
7E-FF-C8-12-46-FD,00:06:ae:60:0f:57,Zone_B1,2025-08-08 10:24:04+00,1474.0,2786.0,33.0,41.0,-62,32,0.05,0.09
F8-AC-65-00-CF-9E,00:06:ae:60:0f:57,Zone_B1,2025-08-08 10:24:04+00,538846.0,5560623.0,2186.0,4696.0,-76,18,2.92,32.52
1E-E2-9B-FF-19-52,00:06:ae:60:0f:57,Zone_B1,2025-08-08 10:24:04+00,155372.0,2907217.0,849.0,2457.0,-81,13,4.6,118.29
CC-15-31-60-4F-91,00:06:ae:cb:00:33,HFCL-cb:00:33,2025-08-08 10:27:30+00,149558.0,146979.0,1647.0,792.0,-30,65,0.51,0.93
