client_mac,ap_mac,ap_name,start_time,end_time,number_of_anomalous_points,max_anomaly_score,avg_anomaly_score,duration_minutes
DA-32-AB-F7-04-B8,00:06:ae:60:65:89,Zone-D1,2025-08-05 06:22:40+00:00,2025-08-05 06:22:40+00:00,1,0.6284150868761369,0.6284150868761369,0.0
2A-D6-18-29-46-9E,00:06:ae:60:0f:57,Zone_B1,2025-08-05 07:32:33+00:00,2025-08-05 07:32:33+00:00,1,0.7664080600377489,0.7664080600377489,0.0
C8-15-4E-5A-CF-D0,00:06:ae:60:0f:57,Zone_B1,2025-08-05 07:32:33+00:00,2025-08-05 07:32:33+00:00,1,0.7557573991569597,0.7557573991569597,0.0
66-20-81-1E-F3-DE,00:06:ae:60:0f:57,Zone_B1,2025-08-05 07:32:33+00:00,2025-08-05 07:32:33+00:00,1,0.7538919015860112,0.7538919015860112,0.0
C4-3D-1A-BF-D8-EE,00:06:ae:60:0f:57,Zone_B1,2025-08-05 07:32:33+00:00,2025-08-05 07:32:33+00:00,1,0.7523765843550867,0.7523765843550867,0.0
4E-2C-CA-0C-97-B9,00:06:ae:60:0f:57,Zone_B1,2025-08-05 07:32:33+00:00,2025-08-05 07:32:33+00:00,1,0.751797890774943,0.751797890774943,0.0
16-09-44-6E-9F-B9,00:06:ae:60:0f:57,Zone_B1,2025-08-05 07:32:33+00:00,2025-08-05 07:32:33+00:00,1,0.7494760452868487,0.7494760452868487,0.0
C4-75-AB-8B-95-75,00:06:ae:60:0f:57,Zone_B1,2025-08-05 07:32:33+00:00,2025-08-05 07:32:33+00:00,1,0.7453624153485197,0.7453624153485197,0.0
A6-6F-A6-E5-9C-06,00:06:ae:60:0f:57,Zone_B1,2025-08-05 07:32:33+00:00,2025-08-05 07:32:33+00:00,1,0.7382287334876574,0.7382287334876574,0.0
5A-F7-D8-69-9B-73,00:06:ae:60:0f:57,Zone_B1,2025-08-05 07:32:33+00:00,2025-08-05 07:32:33+00:00,1,0.76155147608425,0.76155147608425,0.0
72-A5-36-37-D7-79,00:06:ae:60:65:89,Zone-D1,2025-08-05 07:32:41+00:00,2025-08-05 07:32:41+00:00,1,0.7471314312335835,0.7471314312335835,0.0
AC-74-B1-92-8E-ED,00:06:ae:60:65:89,Zone-D1,2025-08-05 07:32:41+00:00,2025-08-05 07:32:41+00:00,1,0.7456306521192224,0.7456306521192224,0.0
C4-75-AB-B5-FD-2E,00:06:ae:60:65:89,Zone-D1,2025-08-05 07:32:41+00:00,2025-08-05 07:32:41+00:00,1,0.7255717104632237,0.7255717104632237,0.0
04-56-E5-59-3D-05,00:06:ae:60:65:89,Zone-D1,2025-08-05 07:32:41+00:00,2025-08-05 07:32:41+00:00,1,0.7252952271670942,0.7252952271670942,0.0
70-32-17-0E-CC-11,00:06:ae:60:65:89,Zone-D1,2025-08-05 07:32:41+00:00,2025-08-05 07:32:41+00:00,1,0.7382980542045046,0.7382980542045046,0.0
C4-75-AB-BA-39-E3,00:06:ae:60:65:89,Zone-D1,2025-08-05 07:32:41+00:00,2025-08-05 07:32:41+00:00,1,0.7210515867867615,0.7210515867867615,0.0
04-56-E5-59-30-AD,00:06:ae:60:65:89,Zone-D1,2025-08-05 07:32:41+00:00,2025-08-05 07:32:41+00:00,1,0.7251012403357332,0.7251012403357332,0.0
D2-B8-FD-40-82-66,00:06:ae:60:65:89,Zone-D1,2025-08-05 07:32:41+00:00,2025-08-05 07:32:41+00:00,1,0.7230690301280216,0.7230690301280216,0.0
DA-32-AB-F7-04-B8,00:06:ae:60:65:89,Zone-D1,2025-08-05 07:32:41+00:00,2025-08-05 07:32:41+00:00,1,0.7120471233227358,0.7120471233227358,0.0
70-32-17-D0-0E-4E,00:06:ae:60:65:89,Zone-D1,2025-08-05 07:32:41+00:00,2025-08-05 07:32:41+00:00,1,0.7275869628775878,0.7275869628775878,0.0
