client_mac,client_ipv4,client_ipv6,site_name,site_location,site_description,ap_name,ap_description,device_ipv4,device_ipv6,ap_mac,user_name,ssid,rssi_strength,data_uploaded_(mb),data_downloaded_(mb),interface,channel,radio_id,uptime,association_time,disassociation_time,host_name,device_type,device_os,protocol,snr,created_at,sap_id,group_name,apgroupname,subapgroup1,subapgroup2,subapgroup3,subapgroup4,waniaxru26,waniaxru52,waniaxru106,waniaxru242,waniaxru484,waniaxru996,waniaxtxmcs48,waniaxtxmcs24,waniaxtxmcs12,waniaxtxmcs6,waniaxtxmcs54,waniaxtxmcs36,waniaxtxmcs18,waniaxtxmcs9,waniaxrxmcs48,waniaxrxmcs24,waniaxrxmcs12,waniaxrxmcs6,waniaxrxmcs54,waniaxrxmcs36,waniaxrxmcs18,waniaxrxmcs9,hkru26,hkru52,hkru106,hkru242,hkru484,hkru996,hktxmcs48,hktxmcs24,hktxmcs12,hktxmcs6,hktxmcs54,hktxmcs36,hktxmcs18,hktxmcs9,hkrxmcs48,hkrxmcs24,hkrxmcs12,hkrxmcs6,hkrxmcs54,hkrxmcs36,hkrxmcs18,hkrxmcs9,bssid,anomaly_score,anomaly_score_adjusted,spike_driven,is_anomaly,source_module,total_mcs_activity
7C-21-4A-FB-2F-D9,192.168.171.19,2405:200:902:600:bce9:1608:6c90:33ea,BLR-WIFILAB,ban,,HFCL-cb:00:33,,192.168.171.7,2405:200:902:600:206:aeff:fecb:33,00:06:ae:cb:00:33,,wifilab,-36,0.03,0.01,2.4GHz,8,802.11axg,00:00:03,15-05-2025 16:29:26,,anusha,Laptop_PC,Linux Ubuntu 20.04,6.3,59,15-05-2025 16:29,ban,BLR-WIFILAB,BLR-WIFILAB,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:CB:00:16,0.1814922928147687,0.0181492292814768,False,True,Performance,
F6-31-54-BF-90-49,192.168.171.133,,Guest_BLR | TEST-A | TEST-A,D32,,PALC,,192.168.171.108,2405:200:902:600:206:aeff:fe6d:7b0d,00:06:ae:6d:7b:0d,,Guest_Network,-29,0.0,0.0,5GHz,36,802.11axa,00:00:53,14-05-2025 21:49:16,14-05-2025 21:50:09,UNKNOWN,MOBILE_TABLET,Generic Android,1.3,66,14-05-2025 21:50,6361,Guest_BLR | TEST-A, TEST-A, TEST-A ,Guest_BLR ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:6D:7B:00;00:06:AE:6D:7B:01,0.1599082672383395,0.0159908267238339,False,True,Performance,
BA-63-6A-17-44-22,172.24.21.161,fde5:9c0b:a693::4cb7:a91e:5c14:f192,5G_R&D,BLR,,Zone_B1,,172.24.23.138,fd09:712b:32a2:0:206:aeff:fe60:f57,00:06:ae:60:0f:57,,5G_R&D,-90,0.0,0.0,5GHz,149,802.11axa,00:00:18,14-05-2025 20:28:17,14-05-2025 20:28:35,Pixel-7a,MOBILE_TABLET,Generic Android,1.3,5,14-05-2025 20:29,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:60:0F:4A,0.1540761757049408,0.015407617570494,False,True,Performance,
D2-D4-D9-40-F2-20,172.24.19.107,,5G_R&D,BLR,,Zone_B1,,172.24.23.138,fd09:712b:32a2:0:206:aeff:fe60:f57,00:06:ae:60:0f:57,,5G_R&D,-91,0.02,0.1,5GHz,149,802.11axa,00:00:37,14-05-2025 17:27:55,14-05-2025 17:28:32,OPPO-F19,MOBILE_TABLET,Generic Android,1.3,4,14-05-2025 17:29,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:60:0F:4A,0.1524898455394684,0.0152489845539468,False,True,Performance,
F6-31-54-BF-90-49,192.168.171.133,,Guest_BLR | TEST-A | TEST-A,D32,,PALC,,192.168.171.108,2405:200:902:600:206:aeff:fe6d:7b0d,00:06:ae:6d:7b:0d,,Guest_Network,-88,0.02,0.03,5GHz,36,802.11axa,00:00:07,14-05-2025 21:50:14,,UNKNOWN,MOBILE_TABLET,Generic Android,1.3,8,14-05-2025 21:50,6361,Guest_BLR | TEST-A, TEST-A, TEST-A ,Guest_BLR ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:6D:7B:00;00:06:AE:6D:7B:01,0.1480119469535572,0.0148011946953557,False,True,Performance,
42-06-65-6F-E2-26,172.24.20.107,,5G_R&D,BLR,,Zone_B1,,172.24.23.138,fe80::206:aeff:fe60:f57,00:06:ae:60:0f:57,,5G_R&D,-89,0.04,0.05,5GHz,124,802.11axa,00:00:28,15-05-2025 13:03:42,15-05-2025 13:04:10,Redmi-12-5G,MOBILE_TABLET,Generic Android,1.3,5,15-05-2025 13:04,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:60:0F:4A,0.1449124950820164,0.0144912495082016,False,True,Performance,
5A-EF-13-DA-D1-B7,172.24.23.32,fd51:467c:8f97::954a:f8c3:26bc:5c3a,5G_R&D,BLR,,Zone_B1,,172.24.23.138,fd09:712b:32a2:0:206:aeff:fe60:f57,00:06:ae:60:0f:57,,5G_R&D,-91,0.05,0.32,5GHz,149,802.11axa,00:01:21,14-05-2025 17:42:48,,OPPO-K10,MOBILE_TABLET,Generic Android,1.3,3,14-05-2025 17:44,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:60:0F:4A,0.1444371983387692,0.0144437198338769,False,True,Performance,
EE-7C-4D-EA-91-A5,192.168.171.159,,Guest_BLR | TEST-A | TEST-A,D32,,PALC,,192.168.171.108,2405:200:902:600:206:aeff:fe6d:7b0d,00:06:ae:6d:7b:0d,,Guest_Network,-92,0.0,0.0,5GHz,36,802.11axa,00:01:17,15-05-2025 12:06:31,,UNKNOWN,MOBILE_TABLET,Generic Android,1.3,4,15-05-2025 13:09,6361,Guest_BLR | TEST-A, TEST-A, TEST-A ,Guest_BLR ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:6D:7B:00;00:06:AE:6D:7B:01,0.1443667182610722,0.0144366718261072,False,True,Performance,
8A-9F-67-72-E5-3F,172.24.18.182,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-94,0.0,0.0,5GHz,112,802.11axa,03:23:54,15-05-2025 10:35:27,,OnePlus-Nord-CE-2,MOBILE_TABLET,Generic Android,1.3,0,15-05-2025 13:59,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,00:06:AE:84:F8:27,0.1440555263395647,0.0144055526339564,False,True,Performance,
AC-74-B1-DC-4A-38,172.24.17.9,fde5:9c0b:a693::216e:e1d0:40ef:75c0,5G_R&D,BLR,,Zone_B1,,172.24.23.138,fd09:712b:32a2:0:206:aeff:fe60:f57,00:06:ae:60:0f:57,,5G_R&D,-90,0.03,0.0,5GHz,149,802.11axa,00:01:16,14-05-2025 18:12:53,,BLR5GLAPVOLETI,Laptop_PC,Windows 10,1.3,4,14-05-2025 18:14,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:60:0F:4A,0.1410489630786269,0.0141048963078626,False,True,Performance,
56-84-D5-AA-CE-C6,172.24.21.2,fd51:467c:8f97::1,5G_R&D,BLR,,Zone_B1,,172.24.23.138,fd09:712b:32a2:0:206:aeff:fe60:f57,00:06:ae:60:0f:57,,5G_R&D,-91,0.0,0.0,5GHz,149,802.11axa,00:01:21,14-05-2025 18:57:17,14-05-2025 18:58:38,UNKNOWN,Laptop_PC,Windows 10,1.3,4,14-05-2025 18:59,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:60:0F:4A,0.1392301034549528,0.0139230103454952,False,True,Performance,
6A-5A-A2-AC-32-41,192.168.171.97,2405:200:902:600:ecc6:c460:440b:79a4,Guest_BLR | TEST-A | TEST-A,D32,,PALC,,192.168.171.108,2405:200:902:600:206:aeff:fe6d:7b0d,00:06:ae:6d:7b:0d,,Guest_Network,-94,0.08,0.1,5GHz,36,802.11axa,01:28:52,14-05-2025 16:01:27,,iPhone,MOBILE_TABLET,Apple iOS,1.3,2,14-05-2025 17:30,6361,Guest_BLR | TEST-A, TEST-A, TEST-A ,Guest_BLR ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:6D:7B:00;00:06:AE:6D:7B:01,0.1389378681823483,0.0138937868182348,False,True,Performance,
9E-08-B6-05-07-69,172.24.21.3,fde5:9c0b:a693::149e:c777:d0a0:ea0a,5G_R&D,BLR,,Zone_B1,,172.24.23.138,fd09:712b:32a2:0:206:aeff:fe60:f57,00:06:ae:60:0f:57,,5G_R&D,-90,0.0,0.0,5GHz,149,802.11axa,00:01:23,14-05-2025 18:57:46,,iPhone,MOBILE_TABLET,Apple iOS,1.3,4,14-05-2025 18:59,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:60:0F:4A,0.1368760229336537,0.0136876022933653,False,True,Performance,
42-4C-AE-61-FB-F3,172.24.22.48,,5G_R&D,BLR,,Zone-A,Zone A,172.24.22.36,fe80::206:aeff:fe60:7bb7,00:06:ae:60:7b:b7,,5G_R&D,-89,0.0,0.0,5GHz,124,802.11axa,00:00:29,15-05-2025 09:46:19,,OPPO-A3x-5G,MOBILE_TABLET,Generic Android,1.3,6,15-05-2025 09:46,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:60:7B:AA,0.1365035812168945,0.0136503581216894,False,True,Performance,
9A-C2-E1-01-9C-07,172.24.19.129,fd8a:eccb:63be::1,5G_R&D,BLR,,Zone_B1,,172.24.23.138,fd09:712b:32a2:0:206:aeff:fe60:f57,00:06:ae:60:0f:57,,5G_R&D,-90,0.01,0.01,5GHz,149,802.11axa,00:01:39,14-05-2025 18:22:30,,Sagar-s-S22,MOBILE_TABLET,Generic Android,1.3,4,14-05-2025 18:24,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:60:0F:4A,0.1359366182974432,0.0135936618297443,False,True,Performance,
E6-24-83-E4-E1-6F,172.24.17.116,,5G_R&D,BLR,,Zone_B1,,172.24.23.138,fd09:712b:32a2:0:206:aeff:fe60:f57,00:06:ae:60:0f:57,,5G_R&D,-91,0.0,0.0,5GHz,149,802.11axa,00:02:05,14-05-2025 18:57:04,,M2101K7BI,MOBILE_TABLET,Generic Android,1.3,3,14-05-2025 18:59,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:06:AE:60:0F:4A,0.134859629983484,0.0134859629983484,False,True,Performance,
